expression_française,exemple_fr,traduction_en
la chemise,Il a mis une chemise bleue pour l'entretien.,He wore a blue shirt for the interview.
la chemise,La chemise blanche est idéale pour les grandes occasions.,The white shirt is perfect for special occasions.
la chemise,Elle a acheté une nouvelle chemise à carreaux pour l'automne.,She bought a new plaid shirt for autumn.
le t-shirt,J'ai acheté un nouveau t-shirt pour l'été.,I bought a new t-shirt for summer.
le t-shirt,Le t-shirt qu'il porte aujourd'hui est vraiment original.,The t-shirt he is wearing today is really original.
le t-shirt,Elle a renversé du jus sur son t-shirt blanc.,She spilled juice on her white t-shirt.
le chemisier,Elle a choisi un chemisier blanc pour aller avec sa jupe.,She chose a white blouse to go with her skirt.
le chemisier,Ce chemisier est parfait pour une soirée habillée.,This blouse is perfect for a formal evening.
le chemisier,Je dois repasser mon chemisier avant de partir au travail.,I need to iron my blouse before leaving for work.
le pull,Elle a choisi le pull rouge pour aller à la fête.,She chose the red sweater to go to the party.
le pull,"Je vais mettre le pull en laine, il fait froid aujourd'hui.",I'm going to put on the wool sweater; it's cold today.
le pull,Le pull que tu portes est vraiment joli.,The sweater you're wearing is really nice.
le sweat,Elle porte toujours son sweat préféré quand il fait frais.,She always wears her favorite sweatshirt when it's cool.
le sweat,J'ai acheté un sweat à capuche pour l'hiver.,I bought a hoodie for the winter.
le sweat,Il a oublié son sweat à la maison ce matin.,He forgot his sweatshirt at home this morning.
le gilet,Il a enfilé le gilet avant de sortir dans le froid.,He put on the vest before going out into the cold.
le gilet,Le gilet que tu portes est vraiment élégant.,The vest you're wearing is really stylish.
le gilet,Elle a tricoté un gilet pour son petit-fils.,She knitted a cardigan for her grandson.
la veste,Elle a mis sa veste avant de sortir.,She put on her jacket before going out.
la veste,La veste que tu portes est très élégante.,The jacket you are wearing is very stylish.
la veste,J'ai oublié ma veste chez toi hier soir.,I left my jacket at your place last night.
le manteau,Je dois acheter un nouveau manteau pour l'hiver.,I need to buy a new coat for winter.
le manteau,Elle a oublié son manteau chez moi hier soir.,She forgot her coat at my place last night.
le manteau,Le manteau rouge sur le banc est à qui ?,Whose red coat is on the bench?
l'imperméable,Elle a enfilé l'imperméable avant de sortir sous la pluie.,She put on the raincoat before going out in the rain.
l'imperméable,Mon imperméable bleu est parfait pour les jours humides.,My blue raincoat is perfect for rainy days.
l'imperméable,J'ai oublié mon imperméable au bureau hier soir.,I forgot my raincoat at the office last night.
l'écharpe,Il faisait si froid ce matin que j'ai mis mon écharpe en laine.,It was so cold this morning that I put on my wool scarf.
l'écharpe,Elle a tricoté une belle écharpe pour son anniversaire.,She knitted a beautiful scarf for her birthday.
l'écharpe,Son écharpe rouge se voyait de loin dans la foule.,Her red scarf was visible from afar in the crowd.
le chapeau,Elle a acheté un joli chapeau pour l'été.,She bought a nice hat for summer.
le chapeau,Il a perdu son chapeau en se promenant dans le parc.,He lost his hat while walking in the park.
le chapeau,Le chapeau de paille est parfait pour se protéger du soleil.,The straw hat is perfect for protecting yourself from the sun.
la casquette,Il a mis sa casquette à l'envers pour le style.,He wore his cap backwards for style.
la casquette,Elle a oublié sa casquette sur le banc du parc.,She forgot her cap on the park bench.
la casquette,"Sous la pluie, sa casquette était complètement trempée.","In the rain, his cap was completely soaked."
la robe,Elle a choisi la robe rouge pour le mariage.,She chose the red dress for the wedding.
la robe,"La robe est froissée, il faut la repasser.",The dress is wrinkled; it needs to be ironed.
la robe,J'adore la robe que tu portes aujourd'hui.,I love the dress you are wearing today.
la jupe,Elle a choisi une jupe rouge pour la soirée.,She chose a red skirt for the evening.
la jupe,"La jupe est trop longue, je vais devoir la raccourcir.",The skirt is too long; I will have to shorten it.
la jupe,"J'adore la jupe que tu portes aujourd'hui, elle te va très bien.",I love the skirt you're wearing today; it looks great on you.
le pantalon,Je vais acheter un nouveau pantalon ce week-end.,I am going to buy new pants this weekend.
le pantalon,Le pantalon que tu portes te va très bien.,The pants you are wearing look great on you.
le pantalon,Elle a tâché son pantalon en renversant du café.,She stained her pants by spilling coffee.
le jean,Elle a acheté un nouveau jean hier.,She bought a new pair of jeans yesterday.
le jean,Ce jean est trop serré pour moi.,These jeans are too tight for me.
le jean,Il préfère porter un jean plutôt qu'un costume.,He prefers to wear jeans rather than a suit.
le short,"En été, je porte souvent le short pour rester au frais.","In summer, I often wear shorts to stay cool."
le short,Le short rouge que tu as acheté te va vraiment bien.,The red shorts you bought really suit you.
le short,Elle a choisi le short bleu pour sa séance de sport.,She chose the blue shorts for her workout.
le costume,Il a enfilé son plus beau costume pour le mariage.,He put on his best suit for the wedding.
le costume,Le costume de clown était coloré et amusant.,The clown costume was colorful and fun.
le costume,Elle a acheté un nouveau costume pour son entretien d'embauche.,She bought a new suit for her job interview.
la cravate,Il a mis une cravate bleue pour aller au mariage.,He wore a blue tie to the wedding.
la cravate,J'ai besoin d'une nouvelle cravate pour le travail.,I need a new tie for work.
la cravate,Sa cravate était mal assortie à sa chemise.,His tie didn't match his shirt well.
la ceinture,Il a serré la ceinture autour de sa taille.,He tightened the belt around his waist.
la ceinture,Elle a acheté une nouvelle ceinture en cuir marron.,She bought a new brown leather belt.
la ceinture,La ceinture de sécurité est obligatoire en voiture.,Seat belts are mandatory in cars.
les gants,Elle a enfilé les gants pour jardiner sans se salir.,She put on gloves to garden without getting dirty.
les gants,Les gants en laine que tu m'as offerts sont très chauds.,The wool gloves you gave me are very warm.
les gants,Il a perdu ses gants en cuir dans le métro ce matin.,He lost his leather gloves in the subway this morning.
les chaussettes,J'ai acheté de nouvelles chaussettes en laine pour l'hiver.,I bought new wool socks for winter.
les chaussettes,Les chaussettes rouges sont mes préférées pour le sport.,Red socks are my favorite for sports.
les chaussettes,"Il fait froid, n'oublie pas de mettre des chaussettes avant de sortir.","It's cold, don't forget to put on socks before going out."
les sous-vêtements,Elle range ses sous-vêtements dans le tiroir du haut.,She puts her underwear in the top drawer.
les sous-vêtements,Il a oublié de mettre des sous-vêtements propres ce matin.,He forgot to put on clean underwear this morning.
les sous-vêtements,Les sous-vêtements en coton sont souvent plus confortables.,Cotton underwear is often more comfortable.
le soutien-gorge,Elle a acheté un nouveau soutien-gorge en dentelle.,She bought a new lace bra.
le soutien-gorge,Le soutien-gorge est indispensable pour certaines tenues.,The bra is essential for certain outfits.
le soutien-gorge,Elle cherche un soutien-gorge confortable pour le sport.,She is looking for a comfortable sports bra.
le pyjama,"Avant de dormir, elle enfile toujours son pyjama préféré.","Before going to sleep, she always puts on her favorite pajamas."
le pyjama,Il a passé toute la journée en pyjama à regarder des films.,He spent the whole day in pajamas watching movies.
le pyjama,"Pour la fête, tout le monde devait porter un pyjama rigolo.","For the party, everyone had to wear a funny pajamas."
le maillot de bain,Elle a acheté un nouveau maillot de bain pour les vacances.,She bought a new swimsuit for the vacation.
le maillot de bain,N'oublie pas ton maillot de bain si tu veux te baigner.,Don't forget your swimsuit if you want to swim.
le maillot de bain,Le maillot de bain est obligatoire à la piscine municipale.,Swimwear is mandatory at the municipal pool.
le blazer,Elle a choisi de porter le blazer bleu pour l'entretien.,She chose to wear the blue blazer for the interview.
le blazer,Le blazer noir se marie bien avec sa chemise blanche.,The black blazer pairs well with his white shirt.
le blazer,Il a enlevé le blazer et l'a accroché au porte-manteau.,He took off the blazer and hung it on the coat rack.
le sweat à capuche,Il a enfilé son sweat à capuche avant de sortir.,He put on his hoodie before going out.
le sweat à capuche,J'ai acheté un sweat à capuche bleu pour l'hiver.,I bought a blue hoodie for winter.
le sweat à capuche,Elle adore porter son sweat à capuche le week-end.,She loves wearing her hoodie on the weekend.
le débardeur,Elle a enfilé un débardeur léger pour aller à la plage.,She put on a light tank top to go to the beach.
le débardeur,"En été, il préfère porter un débardeur pour être à l'aise.","In summer, he prefers to wear a tank top to be comfortable."
le débardeur,Le débardeur rouge qu'elle a acheté lui va à ravir.,The red tank top she bought looks great on her.
le gilet sans manches,Elle a choisi de porter un gilet sans manches pour la soirée.,She chose to wear a sleeveless vest for the evening.
le gilet sans manches,Le gilet sans manches est parfait pour les journées d'automne.,The sleeveless vest is perfect for autumn days.
