English,French,Gender
shirt,la chemise,f
t-shirt,le t-shirt,m
blouse,le chemisier,m
sweater,le pull,m
sweatshirt,le sweat,m
cardigan,le gilet,m
jacket,la veste,f
coat,le manteau,m
raincoat,l'imperméable,m
scarf,l'écharpe,f
hat,le chapeau,m
cap,la casquette,f
dress,la robe,f
skirt,la jupe,f
pants,le pantalon,m
jeans,le jean,m
shorts,le short,m
suit,le costume,m
tie,la cravate,f
belt,la ceinture,f
gloves,les gants,m
socks,les chaussettes,f
underwear,les sous-vêtements,m
bra,le soutien-gorge,m
pajamas,le pyjama,m
swimsuit,le maillot de bain,m
blazer,le blazer,m
hoodie,le sweat à capuche,m
tank top,le débardeur,m
vest,le gilet sans manches,m
shoes,les chaussures,f
sneakers,les baskets,f
boots,les bottes,f
sandals,les sandales,f
high heels,les talons,m
flip-flops,les tongs,f
slippers,les pantoufles,f
dress shoes,les chaussures de ville,f
running shoes,les chaussures de sport,f
bag,le sac,m
handbag,le sac à main,m
backpack,le sac à dos,m
wallet,le portefeuille,m
purse,la bourse,f
earrings,les boucles d’oreilles,f
necklace,le collier,m
bracelet,le bracelet,m
ring,la bague,f
watch,la montre,f
glasses,les lunettes,f
sunglasses,les lunettes de soleil,f
cotton,le coton,m
wool,la laine,f
leather,le cuir,m
silk,la soie,f
linen,le lin,m
polyester,le polyester,m
denim,le jean,m
velvet,le velours,m
synthetic fabric,le tissu synthétique,m
red,rouge,n
blue,bleu / bleue,n
green,vert / verte,n
yellow,jaune,n
black,noir / noire,n
white,blanc / blanche,n
grey,gris / grise,n
brown,marron,n
pink,rose,n
purple,violet / violette,n
orange,orange,n
beige,beige,n
navy blue,bleu marine,n
light blue,bleu clair,n
dark green,vert foncé,n
umbrella,le parapluie,m
winter hat,le bonnet,m
light scarf,le foulard,m
glasses case,l'étui à lunettes,m
keychain,le porte-clés,m
tie pin,l’épingle de cravate,f
hairbrush,la brosse à cheveux,f
hair tie,l’élastique pour les cheveux,m
